epoch,training ppl,validation ppl
1,608.6102380253449,374.2144548851354
2,239.5353362596117,206.53676487242976
3,165.9979408495038,164.9234760309352
4,140.51043391710684,146.85436060676759
5,126.57592167255807,137.3138228908746
6,117.64773290942743,129.05085218868462
7,111.57757851852267,121.92642673090958
8,105.47999395024414,120.52571900652273
9,101.69851304566616,120.27487603734284
10,97.96109198317635,113.10129526389566
11,94.16201306217053,110.76321812000587
12,91.45574883894496,110.06843549955586
13,88.85689497137948,107.65844269839522
14,86.87018375757339,107.4818335355797
15,84.63070006902667,107.62271703035154
16,76.86632475887488,102.8392922558664
17,74.05322864098265,102.1050791255552
18,72.74418674620674,102.33781605551735
19,70.64228200398782,101.60672490698262
20,69.72072894341328,101.33784386865095
21,69.4243870361567,101.40567762778612
22,68.8610861673522,101.18313512911081
23,68.46459987739783,101.10981079946029
24,68.50797840318805,101.0217099428098
25,68.30722412900779,101.04424365651818
26,68.29694031365679,101.0153828947131
27,68.23518126313138,101.02072636892161
28,68.40413122721692,101.0195315518583
29,68.18829486735893,101.0178206138728
30,68.02603107805979,101.01766469725348
31,68.18618534542743,101.01750770854844
32,68.38132095505075,101.01747781209319
33,68.12260291658369,101.01748394579843
34,68.36361256346194,101.0174793133497
35,67.93035993398584,101.01748531837593
36,68.48082888935713,101.01747781209319
37,68.33232550969112,101.01747781209319
38,68.3138605530179,101.01748231586276
39,68.553368267364,101.01748231586276
40,68.27443909103995,101.01748231586276
