epoch,training ppl,validation ppl
1,619.539484838079,341.71880402993975
2,231.0854491540603,204.01792195176392
3,144.08371949100476,159.7715420482787
4,116.41449320797258,136.8454911024945
5,100.94931015458654,131.92661621136838
6,88.55966621741686,122.47813639724177
7,79.77060193586263,112.08854719412223
8,72.71822320674207,112.37003898338156
9,57.602394660037746,106.20804684893108
10,53.71649486977861,106.2692980824798
11,49.91962320157154,105.29059852513925
12,48.81176734471226,105.2494098726464
13,47.87627554984202,105.75676109032133
14,46.914485299804035,105.28232135498212
15,46.52723119812029,105.20315993633591
16,46.461390769359774,105.18238287153785
17,46.49731889892921,105.1759681567437
18,46.45901342890655,105.18910124810952
19,46.34405002172298,105.17451912329592
20,46.18734613039096,105.15506639692455
21,46.1840298991887,105.14907133581488
22,46.3127949634978,105.14393255034683
23,46.271159266958726,105.13356582625777
24,46.16119482737432,105.13264422148926
25,46.202952769323026,105.13201899012925
26,46.20514680690222,105.13848044408695
27,46.27321234984866,105.13635479569211
28,46.158412563625966,105.13562990205092
29,45.98936185424361,105.13552276214118
30,46.289147634519765,105.13547405816
31,46.26105602857916,105.13548642387993
32,46.20514118865819,105.13548954879133
33,46.116394712217144,105.13548655780465
34,46.250061259462726,105.13548642387993
35,46.101104844329306,105.13548812026035
36,46.03313463978095,105.13547861160176
37,46.200977045955185,105.13548642387993
38,46.299097279688155,105.13548329896862
39,45.97721783943988,105.13548329896862
40,46.087737551952024,105.13548329896862
