epoch,training ppl,validation ppl
1,618.0672946142996,332.83883752480705
2,272.26092849543113,223.92785089083762
3,209.14846970805863,185.78325429040336
4,186.22199661783088,172.6556446366788
5,172.4828470855584,164.89368908525645
6,165.85742050519838,159.99386210664852
7,160.20183183159298,154.69008876260756
8,156.90044575370015,153.24099234270352
9,153.0079854179559,149.68632611823494
10,150.32443714857578,147.97011677853428
11,148.32535237931071,146.98028632758368
12,146.41738280127296,145.24761610739517
13,144.2184101925028,142.9242445965004
14,143.25493385517763,141.44322675195184
15,141.20001699377968,141.6316125875558
16,132.90916285308353,138.16607835270128
17,127.83365359182343,137.00981292613335
18,126.13550886892993,136.60802578999264
19,124.21252016136604,135.3789184072728
20,122.87325108842265,135.23186596623674
21,121.892729756355,133.8378884085282
22,119.99968051806907,133.7875056439495
23,119.30873204767026,133.14815516224652
24,117.92355249911068,132.73606071270422
25,117.39629559192261,131.9459588605057
26,116.60145630301902,132.4505453261525
27,114.81018900395193,131.25848072408905
28,113.7565680987262,130.92863547129483
29,113.40853268241803,130.8362911864915
30,113.39996984902322,130.90824826432865
31,112.25018781590062,130.56674533156522
32,112.19489024909883,130.47979803296158
33,112.88224823482908,130.4779238169166
34,112.53275858116768,130.40149692660447
35,111.79094437073486,130.43644332630953
36,112.35458986571062,130.42809280941185
37,111.69380003149828,130.42459238399505
38,111.62796694987907,130.42364689149315
39,111.71597906230086,130.42307992048015
40,111.57749871204801,130.4229692733673
