epoch,training ppl,validation ppl
1,621.8458320158255,305.9440000828071
2,232.94659721742758,216.48271152852973
3,153.64027386932332,165.5769102208239
4,125.87670504643955,146.6264047944211
5,110.72278002300598,137.27457896560375
6,101.1522281636879,125.30539418113243
7,92.88866182715253,119.77380641072644
8,86.60807457756067,111.02275453604545
9,80.51399534665454,108.32715799475599
10,75.68403823611006,107.13473236776237
11,72.454029494601,107.2312668052488
12,61.37346656089328,101.30886836124047
13,58.24739016539646,101.85020721312391
14,55.54884114014596,100.46731994974505
15,54.65282573597163,100.57813520701566
16,53.91597185243043,100.211824218952
17,53.6549835935469,100.23716872917315
18,53.55496851138973,100.20932519002575
19,53.4058091751118,100.17861568173736
20,53.38462640641462,100.17969084901449
21,53.40633301071474,100.16751707033843
22,53.403858779416176,100.15585224665992
23,53.3291441067882,100.1519053335993
24,53.222694275228335,100.14868284467319
25,53.13211960348072,100.14975241764586
26,53.17892766891601,100.15023673146128
27,53.37432773938834,100.15037463949386
28,53.18637193944314,100.15039560425298
29,53.1892025825891,100.15041597366823
30,53.25401529910181,100.15042962415554
31,53.20594680846822,100.15042677498823
32,53.16789124632073,100.15042975173014
33,53.1839985608989,100.15043272847215
34,53.29808450493765,100.15042826335917
35,53.263240665429876,100.15042975173014
36,52.985691652500456,100.15043124010114
37,53.09780329209198,100.15043124010114
38,53.106025009683435,100.15043124010114
39,53.19522463597516,100.15043124010114
40,53.05842899452649,100.15043124010114
